date.month,date.year,date.day,name,links.download.url,links.notes.url,sdks.tvOS[1].number,sdks.tvOS[1].build,sdks.tvOS[1].release.gm,sdks.iOS[1].number,sdks.iOS[1].build,sdks.iOS[1].release.gm,sdks.macOS[1].number,sdks.macOS[1].build,sdks.macOS[1].release.gm,sdks.watchOS[1].number,sdks.watchOS[1].build,sdks.watchOS[1].release.gm,compilers.clang[1].number,compilers.clang[1].build,compilers.clang[1].release.gm,compilers.swift[1].number,compilers.swift[1].build,compilers.swift[1].release.gm,version.number,version.build,version.release.gm,requires,version.release.beta,version.release.gmSeed,compilers.llvm[1].build,compilers.llvm[1].release.gm,sdks.macOS[2].build,sdks.macOS[2].release.gm,version.release.dp,compilers.llvm_gcc[1].number,compilers.llvm_gcc[1].build,compilers.llvm_gcc[1].release.gm,compilers.gcc[1].number,compilers.gcc[1].build,compilers.gcc[1].release.gm,compilers.gcc[2].number,compilers.gcc[2].build,compilers.gcc[2].release.gm,sdks.iOS[2].build,sdks.iOS[2].release.gm,sdks.macOS[3].build,sdks.macOS[3].release.gm,sdks.macOS[2].number,sdks.macOS[3].number
4,2019,27,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10.2.2/Xcode_10.2.2.xip,https://developer.apple.com/documentation/xcode_release_notes/xcode_10_2_2_release_notes/,12.2,16L225,TRUE,12.2,1.60E+227,TRUE,10.14.4,1.80E+220,TRUE,5.2,16T224,TRUE,10.0.1,1001.0.46.4,TRUE,5.0.1,1001.0.82.4,TRUE,10.2.2,10E1001,,10.14.4,,,,,,,,,,,,,,,,,,,,,,
4,2019,17,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10.2.1/Xcode_10.2.1.xip,https://developer.apple.com/documentation/xcode_release_notes/xcode_10_2_1_release_notes/,12.2,16L225,TRUE,12.2,1.60E+227,TRUE,10.14.4,1.80E+220,TRUE,5.2,16T224,TRUE,10.0.1,1001.0.46.4,TRUE,5.0.1,1001.0.82.4,TRUE,10.2.1,10E1001,TRUE,10.14.3,,,,,,,,,,,,,,,,,,,,,,
3,2019,25,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10.2/Xcode_10.2.xip,https://developer.apple.com/documentation/xcode_release_notes/xcode_10_2_release_notes,12.2,16L225,TRUE,12.2,1.60E+227,TRUE,10.14.4,1.80E+220,TRUE,5.2,16T224,TRUE,10.0.1,1001.0.46.3,TRUE,5,1001.0.69.5,TRUE,10.2,1.00E+126,TRUE,10.14.3,,,,,,,,,,,,,,,,,,,,,,
3,2019,4,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10.2_beta_4/Xcode_10.2_beta_4.xip,https://developer.apple.com/documentation/xcode_release_notes/xcode_10_2_beta_4_release_notes,12.2,16L5212d,TRUE,12.2,16E5212e,TRUE,10.14.4,18E205d,TRUE,5.2,16T5212d,TRUE,10.0.1,1001.0.46.2,TRUE,5,1001.0.69,TRUE,10.2,10P107d,,10.14.3,4,,,,,,,,,,,,,,,,,,,,,
2,2019,19,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10.2_Beta_3/Xcode_10.2_Beta_3.xip,https://developer.apple.com/documentation/xcode_release_notes/xcode_10_2_beta_3_release_notes,12.2,16L5201d,TRUE,12.2,16E5201d,TRUE,10.14.4,18E194d,TRUE,5.2,16T5201c,TRUE,10.0.1,1001.0.43.3,TRUE,5,1001.0.63.8,TRUE,10.2,10P99q,,10.14,3,,,,,,,,,,,,,,,,,,,,,
2,2019,4,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10.2_Beta_2/Xcode_10.2_Beta_2.xip,https://developer.apple.com/documentation/xcode_release_notes/xcode_10_2_beta_2_release_notes,12.2,16L5191d,TRUE,12.2,16E5191d,TRUE,10.14.4,18E184e,TRUE,5.2,16T5191d,TRUE,10.0.1,1001.0.37.9,TRUE,5,1001.0.60.3,TRUE,10.2,10P91b,,10.14,2,,,,,,,,,,,,,,,,,,,,,
1,2019,24,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10.2_beta/Xcode_10.2_beta.xip,https://developer.apple.com/documentation/xcode_release_notes/xcode_10_2_beta_release_notes,12.2,16L5181e,TRUE,12.2,16E5181e,TRUE,10.14.4,18E174e,TRUE,5.2,16T5181e,TRUE,10.0.1,1001.0.37.7,TRUE,5,1001.0.45.7,TRUE,10.2,10P82s,,10.14,1,,,,,,,,,,,,,,,,,,,,,
10,2018,30,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10.1/Xcode_10.1.xip,https://developer.apple.com/documentation/xcode_release_notes/xcode_10_1_release_notes,12.1,16J602,TRUE,12.1,16B91,TRUE,10.14.1,18B71,TRUE,5.1,16R591,TRUE,10.0.0,1000.11.45.5,TRUE,4.2.1,1000.11.42,TRUE,10.1,10B61,TRUE,10.13.6,,,,,,,,,,,,,,,,,,,,,,
10,2018,15,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10.1_Beta_3/Xcode_10.1_Beta_3.xip,https://developer.apple.com/documentation/xcode_release_notes/xcode_10_1_beta_3_release_notes,12.1,16J5600a,TRUE,12.1,16B5084a,TRUE,10.14.1,18B64a,TRUE,5.1,16R5584a,TRUE,10.0.0,1000.11.45.5,TRUE,4.2.1,1000.11.42,TRUE,10.1,10O45e,,10.13.6,3,,,,,,,,,,,,,,,,,,,,,
10,2018,2,Xcode,https://download.developer.apple.com/Developer_Tools/Xcode_10.1_Beta_2/Xcode_10.1_Beta_2.xip,https://developer.apple.com/documentation/xcode_release_notes/xcode_10_1_beta_2_release_notes,12.1,16J5584c,TRUE,12.1,16B5068g,TRUE,10.14.1,18B50b,TRUE,5.1,16R5568d,TRUE,10.0.0,1000.11.45.5,TRUE,4.2.1,1000.11.42,TRUE,10.1,10O35n,,10.13.6,2,,,,,,,,,,,,,,,,,,,,,
